source_id,source_title,lcc,area,category
isbn:9783319625416; isbn:9783319625430,Representing Scientific Knowledge,TODO,TODO,TODO
isbn:9783319638225; isbn:9783319638232,Recurrent Respiratory Papillomatosis,TODO,TODO,TODO
